platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,53413386,Vacation home in Batroun,,1,1,64,,43,45,19/11/2025 11:45
airbnb,1375962812280568950,Apartment in Beirut,Beirut,1,1,107.6,5,12,40,19/11/2025 11:45
airbnb,837727110642066344,Guesthouse in Fadous,Fadous,1,1,86.8,4.96,48,26,19/11/2025 11:45
airbnb,27625128,Loft in Jounieh,Jounieh,1,1,122.2,4.96,49,56,19/11/2025 11:45
airbnb,1456575830202418778,Apartment in Broummâna,Broummâna,2,1,86.6,5,,42,19/11/2025 11:45
airbnb,897761713596694665,Apartment in Beirut,Beirut,2,1,67.4,4.92,38,46,19/11/2025 11:45
airbnb,767096584740989815,Apartment in Beirut,Beirut,2,2,177.4,4.95,75,35,19/11/2025 11:45
airbnb,643214194867796490,Chalet in Batroun,Batroun,2,1,59.4,4.92,39,43,19/11/2025 11:45
airbnb,1428912724416160759,Home in Byblos,Byblos,1,1,143.4,4.93,28,34,19/11/2025 11:45
airbnb,1498342030957978869,Apartment in Keserwan District,Keserwan District,1,1,37.8,,,39,19/11/2025 11:46
airbnb,1408500464834321005,Apartment in Chtaura,Chtaura,2,2,71,5,3,6,19/11/2025 11:46
airbnb,979742466777100485,Home in Bezbina,Bezbina,2,2,102.8,5,,31,19/11/2025 11:46
airbnb,1543214382280848040,Apartment in Batroun,Batroun,1,1,47.8,5,,22,19/11/2025 11:46
airbnb,1416449187433861292,Apartment in Naqqache,Naqqache,3,2,90.2,5,,42,19/11/2025 11:46
airbnb,51957896,Apartment in Beirut,Beirut,,1,38.2,4.74,107,31,19/11/2025 11:46
airbnb,33208905,Guest suite in Beirut,Beirut,,1,42.6,4.69,85,39,19/11/2025 11:46
airbnb,857946494576482714,Apartment in Beirut,Beirut,1,1,69.4,4.92,78,37,19/11/2025 11:46
airbnb,1517922123413860238,Apartment in Jal El Dib,Jal El Dib,3,2,78.8,5,,36,19/11/2025 11:46
airbnb,688817933439477894,Apartment in Beirut,Beirut,3,3,52.2,4.91,22,23,19/11/2025 11:46
airbnb,49592774,Apartment in Kfardebian,Kfardebian,2,1,109.6,5,14,43,19/11/2025 11:46
airbnb,812009692551330050,Apartment in Beirut,Beirut,1,1,40.6,4.62,79,33,19/11/2025 11:46
airbnb,1146300778590593675,Apartment in Beirut,Beirut,1,1,56.4,5,54,57,19/11/2025 11:46
airbnb,53654894,Apartment in Beirut,Beirut,1,1,58.6,4.94,72,33,19/11/2025 11:46
