platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,Apartment in Beirut,Beirut,1,1,58.4,5.0,5,15,19/11/2025 11:41
airbnb,Guesthouse in Matn District,Matn District,1,1,85.6,5.0,5,32,19/11/2025 11:38
Stayinn,Eagle Nest | 1-BR in Ashrafieh,Beirut,1,2,85.0,5.0,49,23,2025-11-20T06:32:37.508052
Stayinn,Duplex 3-BR / Batroun Port,Batroun,3,2,280.0,5.0,49,39,2025-11-23T06:31:45.502644
airbnb,Home in Kfardebian,Kfardebian,4,3,183.6,4.73,49,69,19/11/2025 11:49
airbnb,Loft in Jounieh,Jounieh,1,1,122.2,4.96,49,56,19/11/2025 11:45
Stayinn,Beit Chams: Sunrise Suite / Batroun,Batroun,1,1,125.0,5.0,48,32,2025-11-23T06:31:12.837082
Stayinn,Beit Chams: Sunrise Suite / Batroun,Batroun,1,1,120.0,5.0,48,32,2025-11-24T06:33:49.788913
Stayinn,Beit Chams: Sunrise Suite / Batroun,Batroun,1,1,124.0,5.0,48,32,2025-11-22T06:30:02.928728
Stayinn,Beit Chams: Sunrise Suite / Batroun,Batroun,1,1,146.0,5.0,48,32,2025-11-20T06:32:10.906763
airbnb,Apartment in Beirut,Beirut,1,1,67.6,4.9,48,45,19/11/2025 11:48
airbnb,Guesthouse in Fadous,Fadous,1,1,86.8,4.96,48,26,19/11/2025 11:45
Stayinn,Sol 1-BR / Gemmayze,Beirut,1,1,121.0,5.0,47,35,2025-11-19T14:26:08.932823
Stayinn,Sol 1-BR / Gemmayze,Beirut,1,1,120.0,5.0,47,35,2025-11-22T06:29:55.025975
Stayinn,Sol 1-BR / Gemmayze,Beirut,1,1,122.0,5.0,47,35,2025-11-24T06:33:39.785032
airbnb,Apartment in Mar Roukoz - Dahr El Hossein,Mar Roukoz - Dahr El Hossein,1,1,75.4,4.98,47,19,19/11/2025 11:37
airbnb,Loft in Faqra,Faqra,2,1,203.2,4.85,47,50,19/11/2025 11:41
Stayinn,Bonbon in The Cube,Beirut,1,2,140.0,5.0,46,41,2025-11-21T06:34:06.283061
Stayinn,Bonbon in The Cube,Beirut,1,2,150.0,5.0,46,41,2025-11-24T06:34:08.810633
airbnb,Chalet in Rayfoun,Rayfoun,1,1,147.4,4.89,46,36,19/11/2025 11:37
airbnb,Apartment in Jumayza,Jumayza,1,1,124.0,4.98,46,35,19/11/2025 11:41
Stayinn,"Arcades 1 de Bahsa, Batroun",Batroun,1,1,116.0,5.0,45,35,2025-11-23T06:31:33.082237
Stayinn,Boutique Room in Mar Mikhael,Beirut,1,1,72.0,5.0,45,36,2025-11-24T06:34:13.101527
Stayinn,"Arcades 1 de Bahsa, Batroun",Batroun,1,1,134.0,5.0,45,35,2025-11-21T06:34:07.666629
Stayinn,"Arcades 1 de Bahsa, Batroun",Batroun,1,1,102.0,5.0,45,35,2025-11-24T06:34:09.027449
Stayinn,Boutique Room in Mar Mikhael,Beirut,1,1,71.0,5.0,45,36,2025-11-23T06:31:34.520481
Stayinn,"Arcades 1 de Bahsa, Batroun",Batroun,1,1,130.0,5.0,45,35,2025-11-20T06:32:30.273362
Stayinn,"Arcades 1 de Bahsa, Batroun",Batroun,1,1,111.0,5.0,45,35,2025-11-22T06:30:18.274070
airbnb,Treehouse in Ain El Teffaha,Ain El Teffaha,1,1,120.0,4.91,45,46,19/11/2025 11:36
Stayinn,Cranberry Studio in Mar Mikhael,Beirut,1,1,65.0,5.0,44,37,2025-11-20T06:32:50.779234
Stayinn,Blueberry Studio in Mar Mikhael,Beirut,1,1,75.0,5.0,44,37,2025-11-24T06:34:29.687056
Stayinn,Boutique Room in Mar Mikhael,Beirut,1,1,74.0,5.0,44,36,2025-11-20T06:32:34.475268
Stayinn,Blueberry Studio in Mar Mikhael,Beirut,1,1,65.0,5.0,44,37,2025-11-21T06:34:28.560458
airbnb,Apartment in Matn District,Matn District,1,1,90.2,4.98,44,21,19/11/2025 11:41
airbnb,Apartment in Beirut,Beirut,1,1,57.4,4.89,44,20,19/11/2025 11:39
airbnb,Apartment in Beirut,Beirut,1,1,88.2,4.81,43,36,19/11/2025 11:39
airbnb,Vacation home in Batroun,,1,1,64.0,4.963635036496351,43,45,19/11/2025 11:45
airbnb,Apartment in Kasslik,Kasslik,1,2,55.6,4.33,43,28,19/11/2025 11:36
airbnb,Home in Broummâna,Broummâna,3,3,214.4,5.0,43,59,19/11/2025 11:48
airbnb,Apartment in Sin el Fil,Sin El Fil,1,1,144.0,4.98,43,41,19/11/2025 11:38
airbnb,Home in Batroun,Batroun,1,1,89.2,5.0,43,50,19/11/2025 11:38
Stayinn,"The Corner, 1-BR / Gemmayze",Beirut,1,1,84.0,5.0,42,50,2025-11-20T06:31:56.792755
Stayinn,The Cube 13L in Sin El Fil,Beirut,1,1,155.0,5.0,42,35,2025-11-19T14:26:42.786000
Stayinn,Beit Chams: Sunset Suite / Batroun,Batroun,1,1,120.0,5.0,42,28,2025-11-24T06:33:49.044026
Stayinn,"The Corner, 1-BR / Gemmayze",Beirut,1,1,88.0,5.0,42,50,2025-11-22T06:29:50.927548
Stayinn,Beit Chams: Sunset Suite / Batroun,Batroun,1,1,147.0,5.0,42,28,2025-11-21T06:33:47.254511
Stayinn,The Cube 13L in Sin El Fil,Beirut,1,1,166.0,5.0,42,35,2025-11-23T06:31:33.719457
Stayinn,Beit Chams: Sunset Suite / Batroun,Batroun,1,1,125.0,5.0,42,28,2025-11-22T06:30:00.394954
